lga_code,lga_name,latitude,longitude
20660,Banyule City,-37.71871567,145.10110474
24600,Melbourne City,-37.81370121,144.97294378
24600,Melbourne City,-37.8044548,144.93461609
27350,Yarra City,-37.80196801,144.97976444
21180,Brimbank City,-37.76119995,144.82099915
27350,Yarra City,-37.80817795,144.99160767
24600,Melbourne City,-37.81678975,144.95505242
23110,Hobsons Bay City,-37.84877718,144.87632357
23110,Hobsons Bay City,-37.84550019,144.85182334
22310,Glen Eira City,-37.8856163,145.01486206
27070,Whittlesea City,-37.67045975,145.07096863
25060,Moonee Valley City,-37.76845893,144.92935704
27070,Whittlesea City,-37.67788525,145.02446739
23270,Hume City,-37.681691,144.9266307
24330,Maribyrnong City,-37.7863297,144.9017388
26350,Stonnington City,-37.85344664,145.00261051
26350,Stonnington City,-37.85309982,145.00242615
27260,Wyndham City,-37.84135752,144.71553617
24330,Maribyrnong City,-37.80500495,144.89481473
21890,Darebin City,-37.69636917,145.00001526
23270,Hume City,-37.6694667,144.8515462
21110,Boroondara City,-37.82126999,145.04241943
23270,Hume City,-37.69799042,144.87730408
24210,Manningham City,-37.77022265,145.0993744
24410,Maroondah City,-37.79496384,145.24388123
25900,Port Phillip City,-37.83306885,144.9329071
23670,Knox City,-37.8467869,145.2582136
27070,Whittlesea City,-37.6559987,145.06862
24600,Melbourne City,-37.8018018,144.91751106
27350,Yarra City,-37.8063978,144.9893125
22310,Glen Eira City,-37.87215619,145.02093036
26980,Whitehorse City,-37.80128479,145.15965271
26980,Whitehorse City,-37.80405426,145.1892395
21110,Boroondara City,-37.8135122,145.0192426
26350,Stonnington City,-37.85468051,145.00685245
25250,Moreland City,-37.75903888,144.95508634
23670,Knox City,-37.8389754,145.2662386
21180,Brimbank City,-37.6962635,144.760044
24410,Maroondah City,-37.78727722,145.24798584
20910,Bayside City,-37.93706638,145.01218494
26350,Stonnington City,-37.85445404,145.03572083
26980,Whitehorse City,-37.82206345,145.21224976
20910,Bayside City,-37.9112209,144.9936389
24410,Maroondah City,-37.82802963,145.26467896
24970,Monash City,-37.89036942,145.18960571
24410,Maroondah City,-37.80554962,145.26560974
24600,Melbourne City,-37.8083211,144.9359996
24970,Monash City,-37.88852692,145.12399292
24600,Melbourne City,-37.80924988,144.96086121
24410,Maroondah City,-37.78727722,145.24798584
24600,Melbourne City,-37.79325104,144.96972656
26980,Whitehorse City,-37.83491898,145.19219971
23430,Kingston City,-37.92896271,145.12223816
21890,Darebin City,-37.76165771,145.00157166
21180,Brimbank City,-37.7506218,144.75926208
27070,Whittlesea City,-37.65443802,145.03129578
24410,Maroondah City,-37.7868576,145.29399109
25060,Moonee Valley City,-37.7665863,144.91966248
23430,Kingston City,-38.00880432,145.10324097
27350,Yarra City,-37.78988647,144.99014282
20660,Banyule City,-37.72006989,145.12004089
24970,Monash City,-37.88956833,145.17036438
26980,Whitehorse City,-37.82553101,145.18495178
25250,Moreland City,-37.77524948,144.974823
20910,Bayside City,-37.94334412,145.03788757
25250,Moreland City,-37.77453613,144.96733093
23430,Kingston City,-37.96095657,145.05986023
22310,Glen Eira City,-37.86912918,145.01802063
25250,Moreland City,-37.77524948,144.97489929
24330,Maribyrnong City,-37.80015945,144.87715149
23430,Kingston City,-37.99380493,145.07678223
23430,Kingston City,-37.95828721,145.05359408
21450,Cardinia Shire,-38.0856271,145.4601937
24410,Maroondah City,-37.80883408,145.25015259
21110,Boroondara City,-37.82416534,145.03535461
23670,Knox City,-37.8389629,145.2662585
21110,Boroondara City,-37.81553469,145.0992764
21450,Cardinia Shire,-37.95405448,145.38673179
20910,Bayside City,-37.93701143,145.01222134
20910,Bayside City,-37.93707968,145.01213599
24970,Monash City,-37.8677801,145.1583832
26350,Stonnington City,-37.86534119,145.05340576
27350,Yarra City,-37.77939188,144.97824462
24210,Manningham City,-37.76240158,145.13383484
20910,Bayside City,-37.93711337,145.01219552
27450,Yarra Ranges Shire,-37.7846489,145.30574036
22310,Glen Eira City,-37.88775635,145.03649902
24970,Monash City,-37.88673401,145.14569092
25710,Nillumbik Shire,-37.6827583,145.106128
21890,Darebin City,-37.7241952,145.0145554
23270,Hume City,-37.6620718,144.917256
23670,Knox City,-37.89619344,145.24590248
25900,Port Phillip City,-37.87231827,144.99029541
24600,Melbourne City,-37.79606247,144.96139526
25710,Nillumbik Shire,-37.64283313,145.24935246
27350,Yarra City,-37.7841696,144.9774081
24970,Monash City,-37.8798027,145.14086914
24410,Maroondah City,-37.79873657,145.28971863
20910,Bayside City,-37.93714038,145.01217135
25900,Port Phillip City,-37.87213898,144.98963928
20910,Bayside City,-37.93708707,145.01206797
27070,Whittlesea City,-37.67462921,145.03419495
27070,Whittlesea City,-37.68892325,145.01329246
27260,Wyndham City,-37.8809627,144.6880177
21890,Darebin City,-37.75703494,145.01313611
23430,Kingston City,-37.9580616,145.0536656
24210,Manningham City,-37.7473977,145.16397857
23110,Hobsons Bay City,-37.82554245,144.88104248
22670,Greater Dandenong City,-37.96349269,145.21169945
21180,Brimbank City,-37.73481369,144.78501892
25250,Moreland City,-37.72554016,144.96359253
21180,Brimbank City,-37.7784335,144.7621802
27260,Wyndham City,-37.88149049,144.62807542
24970,Monash City,-37.90307236,145.14286804
26980,Whitehorse City,-37.80424729,145.11276033
24600,Melbourne City,-37.79748535,144.97047424
27350,Yarra City,-37.78377492,144.97815568
21180,Brimbank City,-37.69639969,144.77534485
25900,Port Phillip City,-37.8669014,144.97673035
