lga_code,lga_name,latitude,longitude
24210,Manningham City,-37.7424896,145.1623214
24600,Melbourne City,-37.8053423,144.9672291
27350,Yarra City,-37.80196801,144.97976444
25900,Port Phillip City,-37.83328481,144.95653202
24600,Melbourne City,-37.81997443,144.95745266
25710,Nillumbik Shire,-37.71145726,145.18802279
26980,Whitehorse City,-37.82360211,145.19419886
21610,Casey City,-38.03103423,145.3092735
22670,Greater Dandenong City,-37.9460959,145.2119012
21890,Darebin City,-37.74417698,145.01480805
27350,Yarra City,-37.77643248,144.98374199
26350,Stonnington City,-37.8424089,144.99517906
24210,Manningham City,-37.77419598,145.15183391
21110,Boroondara City,-37.82351224,145.04129268
25340,Mornington Peninsula Shire,-38.24898098,145.05560908
24970,Monash City,-37.9160974,145.1362808
27070,Whittlesea City,-37.68419359,145.07288245
24600,Melbourne City,-37.8018434,144.95865575
24600,Melbourne City,-37.79908926,144.94686768
21610,Casey City,-37.9975928,145.2333822
25060,Moonee Valley City,-37.7695627,144.91096079
21110,Boroondara City,-37.81553469,145.0992764
27070,Whittlesea City,-37.60915994,145.0983559
21110,Boroondara City,-37.82411315,145.04157869
20910,Bayside City,-37.90058061,144.98648006
25340,Mornington Peninsula Shire,-38.1985657,145.0834499
25900,Port Phillip City,-37.8580254,144.9833348
20910,Bayside City,-37.93702559,145.01216404
27350,Yarra City,-37.803132,144.9986083
26350,Stonnington City,-37.84060275,145.01175281
24600,Melbourne City,-37.8246549,144.9529781
23270,Hume City,-37.6742824,144.8514674
22670,Greater Dandenong City,-37.9487771,145.15261333
26350,Stonnington City,-37.85102933,145.01408763
21110,Boroondara City,-37.80875435,145.07936519
20910,Bayside City,-37.93700909,145.01200737
21180,Brimbank City,-37.7492076,144.7802913
21890,Darebin City,-37.7565179,145.01364644
24210,Manningham City,-37.761856,145.27167
25060,Moonee Valley City,-37.73935507,144.91569614
27350,Yarra City,-37.83299339,144.99645461
21110,Boroondara City,-37.82356986,145.04127122
24330,Maribyrnong City,-37.79943263,144.8966706
24600,Melbourne City,-37.8099,144.9622
23670,Knox City,-37.89622181,145.24595805
27350,Yarra City,-37.78636606,144.98061546
26350,Stonnington City,-37.852061,144.9999843
24600,Melbourne City,-37.81055556,144.96
26350,Stonnington City,-37.852061,144.9999843
22670,Greater Dandenong City,-37.9615554,145.1757265
22170,Frankston City,-38.1669205,145.1616714
26350,Stonnington City,-37.84105796,145.01436299
26980,Whitehorse City,-37.8131923,145.2083246
25900,Port Phillip City,-37.8328434,144.9676866
25900,Port Phillip City,-37.8362618,144.92778102
24600,Melbourne City,-37.79940143,144.9635186
24600,Melbourne City,-37.8179368,144.9627038
25250,Moreland City,-37.7730126,144.974893
24600,Melbourne City,-37.8088505,144.9820047
22170,Frankston City,-38.1356562,145.1637069
27350,Yarra City,-37.79905812,144.98701139
23430,Kingston City,-38.05117784,145.14063308
23670,Knox City,-37.92577154,145.27239433
24650,Melton City,-37.79290073,144.55277366
27070,Whittlesea City,-37.60916784,145.09837636
23270,Hume City,-37.56600475,144.70628025
22670,Greater Dandenong City,-37.98063742,145.14840519
24600,Melbourne City,-37.84362064,144.97974654
26980,Whitehorse City,-37.8198901,145.1619154
24600,Melbourne City,-37.80984329,144.97000175
24330,Maribyrnong City,-37.80546374,144.87562096
24330,Maribyrnong City,-37.805474,144.87561859
20910,Bayside City,-37.93711539,145.01219535
24650,Melton City,-37.69799977,144.5578265
26350,Stonnington City,-37.851621,145.0305955
27450,Yarra Ranges Shire,-37.90653225,145.34135008
24600,Melbourne City,-37.81910732,144.95502949
25900,Port Phillip City,-37.85873601,144.99206419
